date,time,location,wp,gps,lat,lon,cw1,cw2,ht,bd1,bd2,buds,flowers,pods,seeds,resprout,rhizobia,disturbed,bipinnate,notes
13/02/2014,NA,Tokai,28,C,-34.05956667,18.415,0.38,0.18,0.9,0.006,0.005,N,N,N,N,N,Y,NA,NA,Pulled
13/02/2014,NA,Tokai,29,C,-34.05956667,18.41496667,0.47,0.31,1.23,0.007,0.006,N,N,N,N,N,Y,NA,NA,standing
13/02/2014,NA,Tokai,30,C,-34.05948333,18.4148,0.69,0.32,1.13,0.008,0.007,N,N,N,N,N,Y,NA,NA,Thin leaves
13/02/2014,NA,Tokai,31,C,-34.05921667,18.41481667,0.31,0.48,1.49,0.014,0.011,N,N,N,N,N,Y,NA,NA,"red stem, thin leaves, standing"
13/02/2014,NA,Tokai,32,C,-34.05923333,18.4148,0.08,0.08,0.97,0.006,0.006,N,N,N,N,N,Y,NA,NA,Pulled
13/02/2014,NA,Tokai,33,C,-34.05921667,18.41475,0.27,0.32,1.51,0.012,0.008,N,N,N,N,N,Y,NA,NA,Pulled
13/02/2014,NA,Tokai,34,C,-34.05925,18.41475,1.12,0.84,3.16,0.026,0.022,N,N,N,N,N,Y,NA,NA,standing
13/02/2014,NA,Tokai,35,C,-34.05928333,18.41476667,0.52,0.43,1.92,0.013,0.014,N,N,N,N,N,Y,NA,NA,standing
13/02/2014,NA,Tokai,36,C,-34.0593,18.41475,0.61,0.6,1.47,0.011,0.012,N,N,N,N,N,Y,NA,NA,Pulled
11/09/2014,NA,Tokai,1,NA,-34.05953333,18.41495,0.15,0.17,0.65,0.018,0.009,N,N,N,N,N,N,NA,NA,Pulled
11/09/2014,NA,Tokai,2,NA,-34.05953333,18.41498333,0.17,0.22,0.6,0.007,0.006,N,N,N,N,N,N,NA,NA,Pulled
11/09/2014,NA,Tokai,3,NA,-34.05953333,18.41495,0.14,0.33,0.55,0.006,0.008,N,N,N,N,N,N,NA,NA,Pulled
11/09/2014,NA,Tokai,4,NA,-34.05955,18.415,0.25,0.21,0.57,0.018,0.009,N,N,N,N,N,N,NA,NA,Pulled
11/09/2014,NA,Tokai,5,NA,-34.05953333,18.41495,0.27,0.23,0.57,0.006,0.008,N,N,N,N,N,N,NA,NA,Pulled
11/09/2014,NA,Tokai,6,NA,-34.05953333,18.41495,0.33,0.37,0.4,0.014,0.015,N,N,N,N,N,N,NA,NA,Pulled
11/09/2014,NA,Tokai,7,NA,-34.05953333,18.41495,0.2,0.33,0.66,0.008,0.007,N,N,N,N,N,N,NA,NA,Pulled
12/02/2015,NA,Tokai,10,NA,-34.059579,18.414956,0.11,0.1,0.59,0.004,0.004,N,N,N,N,N,N,NA,NA,Pulled
12/02/2015,NA,Tokai,11,NA,-34.059577,18.414955,0.09,0.11,0.24,0.003,0.003,N,N,N,N,N,N,NA,NA,Pulled
12/02/2015,NA,Tokai,12,NA,-34.059576,18.414956,0.07,0.1,0.24,0.002,0.002,N,N,N,N,N,N,NA,NA,Pulled
12/02/2015,NA,Tokai,13,NA,-34.059578,18.414959,0.11,0.115,0.32,0.003,0.002,N,N,N,N,N,N,NA,NA,Pulled
12/02/2015,NA,Tokai,14,NA,-34.059578,18.414959,0.055,0.03,0.24,0.001,0.001,N,N,N,N,N,N,NA,NA,Pulled
12/02/2015,NA,Tokai,15,NA,-34.05959,18.414947,0.05,0.03,0.07,0.001,0.001,N,N,N,N,N,N,NA,NA,Pulled
12/02/2015,NA,Tokai,16,NA,-34.059586,18.414949,0.07,0.065,0.21,0.001,0.001,N,N,N,N,N,N,NA,NA,Pulled
12/02/2015,NA,Tokai,17,NA,-34.059588,18.414947,0.38,0.41,2.63,0.015,0.013,N,N,N,N,N,N,NA,NA,Pulled
12/02/2015,NA,Tokai,18,NA,-34.059596,18.414941,0.31,0.23,1.21,0.007,0.005,N,N,N,N,N,N,NA,NA,Pulled
